State,Symbol,Action
0,program,S/G 1
0,Program,S/G 2
1,$,Accept
2,identifier,S/G 3
3,Declaration_Section,S/G 4
3,decl_section,S/G 5
4,REDUCE_DEFAULT,R 3b
4,decl_list,S/G 6
4,declaration,S/G 7
4,type,S/G 8
4,constant,S/G 9
4,define,S/G 10
4,integer,S/G 11
4,double,S/G 12
4,string,S/G 13
4,boolean,S/G 14
4,list,S/G 15
5,stmt_section,S/G 16
5,Statement_Section,S/G 17
6,REDUCE_DEFAULT,R 2
7,decl_list,S/G 18
8,id_list,S/G 19
8,IDENTIFIER,S/G 20
9,type,S/G 21
10,IDENTIFIER,S/G 22
11,REDUCE_DEFAULT,R 63a
12,REDUCE_DEFAULT,R 63b
13,REDUCE_DEFAULT,R 63c
14,REDUCE_DEFAULT,R 63d
15,REDUCE_DEFAULT,R 63e
16,End.,S/G 23
17,stmt_list,S/G 24
17,statement,S/G 25
17,action_stmt,S/G 26
17,assignment,S/G 27
17,io_stmt,S/G 28
17,conditional,S/G 29
17,loop,S/G 30
17,switch,S/G 31
17,scope_statement,S/G 32
17,set,S/G 33
17,say,S/G 34
17,read,S/G 35
17,if,S/G 36
17,while_loop,S/G 37
17,for_loop,S/G 38
17,repeat_loop,S/G 39
17,while,S/G 40
17,for_every,S/G 41
17,repeat,S/G 42
17,consider,S/G 43
17,scope,S/G 44
17,loop_control,S/G 45
17,break,S/G 46
17,continue,S/G 47
18,REDUCE_DEFAULT,R 3a
19,REDUCE_DEFAULT,R 4
20,REDUCE_DEFAULT,R 60a
20,",",S/G 48
21,IDENTIFIER,S/G 49
22,as,S/G 50
23,REDUCE_DEFAULT,R 1
24,REDUCE_DEFAULT,R 5
25,REDUCE_DEFAULT,R 6b
25,stmt_list,S/G 51
26,REDUCE_DEFAULT,R 7
27,REDUCE_DEFAULT,R 8a
28,REDUCE_DEFAULT,R 8b
29,REDUCE_DEFAULT,R 8c
30,REDUCE_DEFAULT,R 8d
31,REDUCE_DEFAULT,R 8e
32,REDUCE_DEFAULT,R 8f
33,IDENTIFIER,S/G 52
33,item,S/G 53
34,expression_list,S/G 54
34,expression,S/G 55
34,logic_or_expr,S/G 56
34,logic_and_expr,S/G 57
34,logic_xor_expr,S/G 58
34,logic_nand_expr,S/G 59
34,logic_nor_expr,S/G 60
34,logic_not_expr,S/G 61
34,not,S/G 62
34,relational,S/G 63
34,arithmetic_expr,S/G 64
34,term,S/G 65
34,power,S/G 66
34,primary,S/G 67
34,(,S/G 68
34,IDENTIFIER,S/G 69
34,literal,S/G 70
34,item,S/G 71
34,list_literal,S/G 72
34,num_literal,S/G 73
34,STR_LIT,S/G 74
34,BOOL_LIT,S/G 75
34,special_literal,S/G 76
34,[,S/G 77
34,INT_LIT,S/G 78
34,DOUBLE_LIT,S/G 79
34,length_op,S/G 80
34,find_op,S/G 81
34,string_op,S/G 82
34,length_of,S/G 83
34,find,S/G 84
34,join,S/G 85
35,id_list,S/G 86
36,expression,S/G 87
37,REDUCE_DEFAULT,R 16a
38,REDUCE_DEFAULT,R 16b
39,REDUCE_DEFAULT,R 16c
40,expression,S/G 88
41,IDENTIFIER,S/G 89
42,stmt_list,S/G 90
43,expression,S/G 91
44,block,S/G 92
45,REDUCE_DEFAULT,R 8g
46,REDUCE_DEFAULT,R 21a
47,REDUCE_DEFAULT,R 21b
48,id_list,S/G 93
49,is,S/G 94
50,type,S/G 95
51,REDUCE_DEFAULT,R 6a
52,to,S/G 96
53,expression,S/G 97
54,REDUCE_DEFAULT,R 11a
55,REDUCE_DEFAULT,R 12a
55,",",S/G 98
56,REDUCE_DEFAULT,R 25
56,or,S/G 99
57,REDUCE_DEFAULT,R 26b
57,and,S/G 100
58,REDUCE_DEFAULT,R 27b
58,xor,S/G 101
59,REDUCE_DEFAULT,R 28b
59,nand,S/G 102
60,REDUCE_DEFAULT,R 29b
60,nor,S/G 103
61,REDUCE_DEFAULT,R 30b
62,logic_not_expr,S/G 103
63,REDUCE_DEFAULT,R 31b
64,REDUCE_DEFAULT,R 32b
64,rel_op,S/G 104
64,add_op,S/G 105
64,is,S/G 106
64,is_not,S/G 107
64,equal_to,S/G 108
64,not_equal_to,S/G 109
64,greater_than,S/G 110
64,less_than,S/G 111
64,greater_than_or_equal_to,S/G 112
64,less_than_or_equal_to,S/G 113
64,plus,S/G 114
64,minus,S/G 115
65,REDUCE_DEFAULT,R 34b
65,mult_op,S/G 116
65,times,S/G 117
65,divided_by,S/G 118
65,modulo,S/G 119
66,REDUCE_DEFAULT,R 36b
67,REDUCE_DEFAULT,R 38b
67,raised_to,S/G 120
68,expression,S/G 121
69,REDUCE_DEFAULT,R 39b
70,REDUCE_DEFAULT,R 39c
71,arithmetic_expr,S/G 122
72,REDUCE_DEFAULT,R 43a
73,REDUCE_DEFAULT,R 43b
74,REDUCE_DEFAULT,R 43c
75,REDUCE_DEFAULT,R 43d
76,REDUCE_DEFAULT,R 43e
77,REDUCE_DEFAULT,R 41b
77,list_elements,S/G 123
77,expression,S/G 124
78,REDUCE_DEFAULT,R 53a
79,REDUCE_DEFAULT,R 53b
80,REDUCE_DEFAULT,R 44a
81,REDUCE_DEFAULT,R 44b
82,REDUCE_DEFAULT,R 44c
83,special_string,S/G 125
84,special_string,S/G 126
85,special_string,S/G 127
86,REDUCE_DEFAULT,R 11b
87,then,S/G 128
88,do,S/G 129
89,in,S/G 130
90,until,S/G 131
91,REDUCE_DEFAULT,R 23b
91,case_list,S/G 132
91,case,S/G 133
92,stmt_list,S/G 134
93,REDUCE_DEFAULT,R 50b
94,literal,S/G 135
95,REDUCE_DEFAULT,R 4c
96,expression,S/G 136
97,of,S/G 137
98,expression_list,S/G 138
99,logic_and_expr,S/G 139
100,logic_xor_expr,S/G 140
101,logic_nand_expr,S/G 141
102,logic_nor_expr,S/G 142
103,REDUCE_DEFAULT,R 31a
103,logic_not_expr,S/G 143
104,arithmetic_expr,S/G 144
105,term,S/G 145
106,REDUCE_DEFAULT,R 33a
107,REDUCE_DEFAULT,R 33b
108,REDUCE_DEFAULT,R 33c
109,REDUCE_DEFAULT,R 33d
110,REDUCE_DEFAULT,R 33e
111,REDUCE_DEFAULT,R 33f
112,REDUCE_DEFAULT,R 33g
113,REDUCE_DEFAULT,R 33h
114,REDUCE_DEFAULT,R 35a
115,REDUCE_DEFAULT,R 35b
116,power,S/G 146
117,REDUCE_DEFAULT,R 37a
118,REDUCE_DEFAULT,R 37b
119,REDUCE_DEFAULT,R 37c
120,power,S/G 147
121,),S/G 148
122,of,S/G 149
123,],S/G 150
124,REDUCE_DEFAULT,R 42b
124,list_tail,S/G 151
124,",",S/G 152
125,REDUCE_DEFAULT,R 45
126,in,S/G 153
127,with,S/G 154
128,stmt_list,S/G 155
129,stmt_list,S/G 156
130,range_spec,S/G 157
130,expression,S/G 158
130,IDENTIFIER,S/G 159
131,expression,S/G 160
132,REDUCE_DEFAULT,R 24b
132,opt_otherwise,S/G 161
132,otherwise,S/G 162
133,literal,S/G 163
134,done,S/G 164
135,REDUCE_DEFAULT,R 4b
136,REDUCE_DEFAULT,R 10b
136,opt_as_type,S/G 165
136,as,S/G 166
137,IDENTIFIER,S/G 167
138,REDUCE_DEFAULT,R 12b
139,REDUCE_DEFAULT,R 26a
140,REDUCE_DEFAULT,R 27a
141,REDUCE_DEFAULT,R 28a
142,REDUCE_DEFAULT,R 29a
143,REDUCE_DEFAULT,R 30a
144,REDUCE_DEFAULT,R 32a
145,REDUCE_DEFAULT,R 34a
146,REDUCE_DEFAULT,R 36a
147,REDUCE_DEFAULT,R 38a
148,REDUCE_DEFAULT,R 39a
149,special_list,S/G 168
149,IDENTIFIER,S/G 169
149,list_literal,S/G 170
150,REDUCE_DEFAULT,R 40
151,REDUCE_DEFAULT,R 41a
152,expression,S/G 171
153,special_string,S/G 172
154,special_string,S/G 173
155,REDUCE_DEFAULT,R 14b
155,else_if_clause,S/G 174
155,else_if,S/G 175
156,done,S/G 176
157,do,S/G 177
158,expression,S/G 178
159,REDUCE_DEFAULT,R 20b
160,REDUCE_DEFAULT,R 19
161,done,S/G 179
162,stmt_list,S/G 180
163,then,S/G 181
164,REDUCE_DEFAULT,R 8.5
165,REDUCE_DEFAULT,R 9a
166,type,S/G 182
167,to,S/G 183
168,REDUCE_DEFAULT,R 39d
169,REDUCE_DEFAULT,R 49a
170,REDUCE_DEFAULT,R 49b
171,REDUCE_DEFAULT,R 42b
171,list_tail,S/G 184
172,REDUCE_DEFAULT,R 46
173,REDUCE_DEFAULT,R 47
174,REDUCE_DEFAULT,R 15b
174,else_clause,S/G 185
174,else,S/G 186
175,expression,S/G 187
176,REDUCE_DEFAULT,R 17
177,stmt_list,S/G 188
178,to,S/G 189
179,REDUCE_DEFAULT,R 22
180,REDUCE_DEFAULT,R 24a
181,stmt_list,S/G 190
182,REDUCE_DEFAULT,R 10a
183,expression,S/G 191
184,REDUCE_DEFAULT,R 42a
185,done,S/G 192
186,stmt_list,S/G 193
187,then,S/G 194
188,done,S/G 195
189,expression,S/G 196
190,REDUCE_DEFAULT,R 23b
190,case_list,S/G 197
191,REDUCE_DEFAULT,R 9b
192,REDUCE_DEFAULT,R 13
193,REDUCE_DEFAULT,R 15a
194,stmt_list,S/G 198
195,REDUCE_DEFAULT,R 18
196,REDUCE_DEFAULT,R 20a
197,REDUCE_DEFAULT,R 23a
198,REDUCE_DEFAULT,R 14b
198,else_if_clause,S/G 199
199,REDUCE_DEFAULT,R 15a
